InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo
gpu_1x_rtx-a2000_12,RTX-A2000,1,12,64,0.060,Europe-NO,"{'Gpus': [{'Name': 'RTX A2000', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 6144}}], 'TotalGpuMemoryInMiB': 6144}"
gpu_1x_rtx-3060-ti_8,RTX-3060-Ti,1,8,64,0.060,Europe-NO,"{'Gpus': [{'Name': 'RTX 3060 Ti', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 8192}}], 'TotalGpuMemoryInMiB': 8192}"
gpu_1x_rtx-a2000_24,RTX-A2000,1,24,32,0.060,Europe-NO,"{'Gpus': [{'Name': 'RTX A2000', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 6144}}], 'TotalGpuMemoryInMiB': 6144}"
gpu_1x_rtx-a2000_12,RTX-A2000,1,12,64,0.070,Europe-NO,"{'Gpus': [{'Name': 'RTX A2000', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 6144}}], 'TotalGpuMemoryInMiB': 6144}"
gpu_1x_rtx-3060_16,RTX-3060,1,16,64,0.070,North America-CA,"{'Gpus': [{'Name': 'RTX 3060', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 12288}}], 'TotalGpuMemoryInMiB': 12288}"
gpu_1x_rtx-3060-ti_16,RTX-3060-Ti,1,16,64,0.070,Europe-NO,"{'Gpus': [{'Name': 'RTX 3060 Ti', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 8192}}], 'TotalGpuMemoryInMiB': 8192}"
gpu_1x_rtx-3060_18,RTX-3060,1,18,73,0.070,Europe-PL,"{'Gpus': [{'Name': 'RTX 3060', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 12288}}], 'TotalGpuMemoryInMiB': 12288}"
gpu_1x_rtx-3060_25,RTX-3060,1,25,102,0.080,Europe-PL,"{'Gpus': [{'Name': 'RTX 3060', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 12288}}], 'TotalGpuMemoryInMiB': 12288}"
gpu_1x_rtx-a4000_10,RTX-A4000,1,10,32,0.090,Europe-EE,"{'Gpus': [{'Name': 'RTX A4000', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}"
gpu_1x_rtx-a4000_16,RTX-A4000,1,16,64,0.100,Europe-NO,"{'Gpus': [{'Name': 'RTX A4000', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}"
gpu_2x_rtx-a2000_48,RTX-A2000,2,48,64,0.120,Europe-NO,"{'Gpus': [{'Name': 'RTX A2000', 'Manufacturer': 'NVIDIA', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 6144}}], 'TotalGpuMemoryInMiB': 6144}"
gpu_2x_rtx-3060_32,RTX-3060,2,32,128,0.140,North America-CA,"{'Gpus': [{'Name': 'RTX 3060', 'Manufacturer': 'NVIDIA', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 12288}}], 'TotalGpuMemoryInMiB': 12288}"
gpu_2x_rtx-3060_36,RTX-3060,2,36,146,0.140,Europe-PL,"{'Gpus': [{'Name': 'RTX 3060', 'Manufacturer': 'NVIDIA', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 12288}}], 'TotalGpuMemoryInMiB': 12288}"
gpu_2x_rtx-3060_51,RTX-3060,2,51,204,0.160,Europe-PL,"{'Gpus': [{'Name': 'RTX 3060', 'Manufacturer': 'NVIDIA', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 12288}}], 'TotalGpuMemoryInMiB': 12288}"
